iata,ident,name,latitude,longitude,iso_country,city
BGI,TBPB,Grantley Adams International Airport,13.0746,-59.4925,BB,Bridgetown
TBQ,TBQ,Tarabo Airport,-6.46666666667,145.532222222,PG,Tarabo
TBV,TBV,Tabal Airstrip,8.3027,171.1615,MH,Tabal Island
TCK,TCK,Tinboli Airport,-4.0949,143.3838,PG,Tinboli
TCT,TCT,Takotna Airport,62.993206,-156.029026,US,Takotna
TDB,TDB,Tetebedi Airport,-9.1586,148.0686,PG,Tetebedi
DCF,TDCF,Canefield Airport,15.336693,-61.392108,DM,Canefield
DOM,TDPD,Douglas-Charles Airport,15.547,-61.299999,DM,Marigot
TDS,TDS,Sasereme Airport,-7.6217,142.868,PG,Sasereme
TEO,TEO,Terapo Airport,-8.16972222222,146.194444444,PG,Terapo Mission
TFB,TFB,Tifalmin Airport,-5.1173,141.419,PG,Tifalmin
DSD,TFFA,La Désirade Airport,16.296902,-61.0844,GP,Grande Anse
BBR,TFFB,Basse-Terre Baillif Airport,16.013648,-61.742928,GP,Basse-Terre
SFC,TFFC,St-François Airport,16.257799,-61.262501,GP,St-François
FDF,TFFF,Martinique Aimé Césaire International Airport,14.591,-61.003201,MQ,Fort-de-France
SFG,TFFG,Grand Case-Espérance Airport,18.099899,-63.047199,MF,Grand Case
SBH,TFFJ,Saint Barthélemy - Rémy de Haenen Airport,17.9044,-62.843601,BL,Gustavia / Saint-Jean
GBJ,TFFM,Les Bases Airport,15.8687000274658,-61.2700004577637,GP,Grand Bourg
PTP,TFFR,Pointe-à-Pitre Le Raizet International  Airport,16.265301,-61.531799,GP,Pointe-à-Pitre
LSS,TFFS,Terre-de-Haut Airport,15.86439991,-61.5806007385,GP,Les Saintes
TGL,TGL,Tagula Airport,-11.3311111111,153.202916667,PG,Sudest Island
GND,TGPY,Point Salines International Airport,12.0041999816895,-61.7862014770508,GD,Saint George's
CRU,TGPZ,Lauriston Airport,12.4761,-61.472801,GD,Carriacou Island
THW,THW,Trincomalee Harbor Waterdrome,8.56,81.22,LK,Trincomalee
STT,TIST,Cyril E. King Airport,18.337091,-64.977251,VI,Charlotte Amalie
STX,TISX,Henry E Rohlsen Airport,17.7019004821777,-64.7985992431641,VI,Christiansted
ARE,TJAB,Antonio Nery Juarbe Pol Airport,18.45085,-66.675768,PR,Arecibo
BQN,TJBQ,Rafael Hernández International Airport,18.4949,-67.129402,PR,Aguadilla
TJC,TJC,Ticantiquí Airport,9.4185,-78.4896,PA,Ticantiquí
